oligoset_id	oligo_0	oligo_1	oligo_2	oligo_3	oligo_4	set_score_worst	set_score_sum
54	DECR2::4002	DECR2::3844	DECR2::3848	DECR2::2750	DECR2::3312	0.867	3.674
55	DECR2::4002	DECR2::3844	DECR2::3848	DECR2::2763	DECR2::3312	0.867	3.676
56	DECR2::4002	DECR2::3844	DECR2::3848	DECR2::2762	DECR2::3312	0.867	3.676
57	DECR2::3957	DECR2::3844	DECR2::3848	DECR2::2750	DECR2::3312	0.867	3.678
58	DECR2::3958	DECR2::3844	DECR2::3848	DECR2::2750	DECR2::3312	0.867	3.678
59	DECR2::3957	DECR2::3844	DECR2::3848	DECR2::2763	DECR2::3312	0.867	3.68
60	DECR2::3958	DECR2::3844	DECR2::3848	DECR2::2763	DECR2::3312	0.867	3.68
61	DECR2::3957	DECR2::3844	DECR2::3848	DECR2::2762	DECR2::3312	0.867	3.68
62	DECR2::3958	DECR2::3844	DECR2::3848	DECR2::2762	DECR2::3312	0.867	3.68
63	DECR2::4001	DECR2::3848	DECR2::3910	DECR2::2750	DECR2::3312	0.867	3.691
64	DECR2::3953	DECR2::4016	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.692
65	DECR2::4001	DECR2::3848	DECR2::3910	DECR2::2763	DECR2::3312	0.867	3.693
66	DECR2::4001	DECR2::3848	DECR2::3910	DECR2::2762	DECR2::3312	0.867	3.693
67	DECR2::3953	DECR2::4016	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.694
68	DECR2::3953	DECR2::4016	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.694
69	DECR2::3953	DECR2::3997	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.698
70	DECR2::3953	DECR2::3997	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.7
71	DECR2::3953	DECR2::3997	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.7
72	DECR2::4002	DECR2::3848	DECR2::3991	DECR2::2750	DECR2::3312	0.867	3.7
73	DECR2::4002	DECR2::3848	DECR2::3991	DECR2::2763	DECR2::3312	0.867	3.702
74	DECR2::4002	DECR2::3848	DECR2::3991	DECR2::2762	DECR2::3312	0.867	3.702
75	DECR2::3915	DECR2::4016	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.704
76	DECR2::3957	DECR2::3848	DECR2::3991	DECR2::2750	DECR2::3312	0.867	3.704
77	DECR2::3958	DECR2::3848	DECR2::3991	DECR2::2750	DECR2::3312	0.867	3.704
78	DECR2::3915	DECR2::4016	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.706
79	DECR2::3915	DECR2::4016	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.706
80	DECR2::3957	DECR2::3848	DECR2::3991	DECR2::2763	DECR2::3312	0.867	3.706
81	DECR2::3958	DECR2::3848	DECR2::3991	DECR2::2763	DECR2::3312	0.867	3.706
82	DECR2::3957	DECR2::3848	DECR2::3991	DECR2::2762	DECR2::3312	0.867	3.706
83	DECR2::3958	DECR2::3848	DECR2::3991	DECR2::2762	DECR2::3312	0.867	3.706
84	DECR2::3959	DECR2::4016	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.708
85	DECR2::3915	DECR2::3997	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.71
86	DECR2::3959	DECR2::4016	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.71
87	DECR2::3959	DECR2::4016	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.71
88	DECR2::4002	DECR2::4016	DECR2::3910	DECR2::2750	DECR2::3312	0.867	3.711
89	DECR2::3915	DECR2::3997	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.712
90	DECR2::3915	DECR2::3997	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.712
91	DECR2::3916	DECR2::4016	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.712
92	DECR2::4020	DECR2::4016	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.712
93	DECR2::4002	DECR2::4016	DECR2::3910	DECR2::2763	DECR2::3312	0.867	3.713
94	DECR2::4002	DECR2::4016	DECR2::3910	DECR2::2762	DECR2::3312	0.867	3.713
95	DECR2::3959	DECR2::3997	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.714
96	DECR2::3916	DECR2::4016	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.714
97	DECR2::4020	DECR2::4016	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.714
98	DECR2::3916	DECR2::4016	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.714
99	DECR2::4020	DECR2::4016	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.714
