oligoset_id	oligo_0	oligo_1	oligo_2	oligo_3	oligo_4	set_score_worst	set_score_sum
62	PRR35::9599	PRR35::9608	PRR35::10530	PRR35::6511	PRR35::10348	0.993	4.209
63	PRR35::9599	PRR35::9488	PRR35::10530	PRR35::7825	PRR35::10348	0.993	4.209
64	PRR35::9599	PRR35::9489	PRR35::10530	PRR35::8892	PRR35::10348	0.993	4.21
65	PRR35::9599	PRR35::9488	PRR35::10530	PRR35::9049	PRR35::10348	0.993	4.21
66	PRR35::9599	PRR35::9489	PRR35::10530	PRR35::8956	PRR35::10348	0.993	4.21
67	PRR35::9599	PRR35::9488	PRR35::10530	PRR35::8893	PRR35::10348	0.993	4.212
68	PRR35::9599	PRR35::9489	PRR35::10530	PRR35::6513	PRR35::10348	0.993	4.213
69	PRR35::9599	PRR35::9489	PRR35::10530	PRR35::10529	PRR35::10348	0.993	4.213
70	PRR35::9599	PRR35::9489	PRR35::10530	PRR35::6511	PRR35::10348	0.993	4.213
71	PRR35::9599	PRR35::9488	PRR35::10530	PRR35::9617	PRR35::10348	0.993	4.215
72	PRR35::9599	PRR35::7368	PRR35::8232	PRR35::2129	PRR35::10348	0.993	4.218
73	PRR35::9599	PRR35::10527	PRR35::8232	PRR35::2129	PRR35::10348	0.993	4.218
74	PRR35::9599	PRR35::7368	PRR35::8232	PRR35::9379	PRR35::10348	0.993	4.219
75	PRR35::9599	PRR35::10527	PRR35::8232	PRR35::9379	PRR35::10348	0.993	4.219
76	PRR35::9599	PRR35::7368	PRR35::9493	PRR35::2129	PRR35::10348	0.993	4.219
77	PRR35::9599	PRR35::10527	PRR35::9493	PRR35::2129	PRR35::10348	0.993	4.219
78	PRR35::9599	PRR35::8924	PRR35::10530	PRR35::2129	PRR35::10348	0.993	4.219
79	PRR35::9599	PRR35::7368	PRR35::8232	PRR35::7825	PRR35::10348	0.993	4.219
80	PRR35::9599	PRR35::10527	PRR35::8232	PRR35::7825	PRR35::10348	0.993	4.219
81	PRR35::9599	PRR35::9488	PRR35::10530	PRR35::8892	PRR35::10348	0.993	4.22
82	PRR35::9599	PRR35::7368	PRR35::9493	PRR35::9379	PRR35::10348	0.993	4.22
83	PRR35::9599	PRR35::10527	PRR35::9493	PRR35::9379	PRR35::10348	0.993	4.22
84	PRR35::9599	PRR35::8924	PRR35::10530	PRR35::9379	PRR35::10348	0.993	4.22
85	PRR35::9599	PRR35::10710	PRR35::8232	PRR35::2129	PRR35::10348	0.993	4.22
86	PRR35::9599	PRR35::7368	PRR35::9493	PRR35::7825	PRR35::10348	0.993	4.22
87	PRR35::9599	PRR35::10527	PRR35::9493	PRR35::7825	PRR35::10348	0.993	4.22
88	PRR35::9599	PRR35::8924	PRR35::10530	PRR35::7825	PRR35::10348	0.993	4.22
89	PRR35::9599	PRR35::7368	PRR35::8232	PRR35::9049	PRR35::10348	0.993	4.22
90	PRR35::9599	PRR35::10527	PRR35::8232	PRR35::9049	PRR35::10348	0.993	4.22
91	PRR35::9599	PRR35::9488	PRR35::10530	PRR35::8956	PRR35::10348	0.993	4.22
92	PRR35::9599	PRR35::10710	PRR35::8232	PRR35::9379	PRR35::10348	0.993	4.221
93	PRR35::9599	PRR35::10710	PRR35::9493	PRR35::2129	PRR35::10348	0.993	4.221
94	PRR35::9599	PRR35::10710	PRR35::8232	PRR35::7825	PRR35::10348	0.993	4.221
95	PRR35::9599	PRR35::7368	PRR35::9493	PRR35::9049	PRR35::10348	0.993	4.221
96	PRR35::9599	PRR35::10527	PRR35::9493	PRR35::9049	PRR35::10348	0.993	4.221
97	PRR35::9599	PRR35::8924	PRR35::10530	PRR35::9049	PRR35::10348	0.993	4.221
98	PRR35::9599	PRR35::7368	PRR35::8232	PRR35::8893	PRR35::10348	0.993	4.222
99	PRR35::9599	PRR35::10527	PRR35::8232	PRR35::8893	PRR35::10348	0.993	4.222
